FileName	NearPhrase	ReferenceObject	MapLink	GoogleNearLink
adjacent+to+Costco_L_losangeles_lac_off_3455309552_D12_22_2012.html	adjacent to	Costco	http://maps.google.com/?q=loc%3A+WASHINGTON+BLVD+at+TELEGRAPH+RD+COMMERCE+CA+US	http://maps.google.com/?q=Costco+near+%3A+WASHINGTON+BLVD+at+TELEGRAPH+RD+COMMERCE+CA+US
adjacent+to+Costco_L_seattle_tac_off_3444048119_D12_05_2012.html	adjacent to	Costco	http://maps.google.com/?q=loc%3A+%33%39th+Ave+SW+at+%39th+Street+SW+Puyallup+WA+US	http://maps.google.com/?q=Costco+near+%3A+%33%39th+Ave+SW+at+%39th+Street+SW+Puyallup+WA+US
adjacent+to+Kroger_L_dayton_off_3459493673_D12_15_2012.html	adjacent to	Kroger	http://maps.google.com/?q=loc%3A+N+Dixie+Drive+at+Needmore+Dayton+OH+US	http://maps.google.com/?q=Kroger+near+%3A+N+Dixie+Drive+at+Needmore+Dayton+OH+US
adjacent+to+Macy's_L_minneapolis_hnp_off_3457614328_D12_09_2012.html	adjacent to	Macy's	http://maps.google.com/?q=loc%3A+%38th+and+Hennepin+Minneapolis+mn+US	http://maps.google.com/?q=Macy's+near+%3A+%38th+and+Hennepin+Minneapolis+mn+US
adjacent+to+Marshalls_L_madison_apa_3435263750_D12_06_2012.html	adjacent to	Marshalls	http://maps.google.com/?q=loc%3A+%34%34%39+Waterloo+Rd+Marshall+Wi+US	http://maps.google.com/?q=Marshalls+near+%3A+%34%34%39+Waterloo+Rd+Marshall+Wi+US
adjacent+to+McDonald's_L_rockford_reo_3390882981_D12_19_2012.html	adjacent to	McDonald's	http://maps.google.com/?q=loc%3A+%37%32%30+E+Main+St+Genoa+IL+US	http://maps.google.com/?q=McDonald's+near+%3A+%37%32%30+E+Main+St+Genoa+IL+US
adjacent+to+Ross_L_pittsburgh_off_3372786674_D12_05_2012.html	adjacent to	Ross	http://maps.google.com/?q=loc%3A+McKnight+Park+Drive+at+Cheryl+Drive+Pittsburgh+PA+US	http://maps.google.com/?q=Ross+near+%3A+McKnight+Park+Drive+at+Cheryl+Drive+Pittsburgh+PA+US
adjacent+to+Safeway_L_seattle_see_off_3491795595_D12_22_2012.html	adjacent to	Safeway	http://maps.google.com/?q=loc%3A+%36%30%31+South+Pioneer+Moses+Lake+WA+US	http://maps.google.com/?q=Safeway+near+%3A+%36%30%31+South+Pioneer+Moses+Lake+WA+US
adjacent+to+Starbucks_L_losangeles_lgb_off_3542190524_D01_18_2013.html	adjacent to	Starbucks	http://maps.google.com/?q=loc%3A+Alondra+Blvd+at+Lakewood+Blvd+Paramount+CA+US	http://maps.google.com/?q=Starbucks+near+%3A+Alondra+Blvd+at+Lakewood+Blvd+Paramount+CA+US
adjacent+to+Starbucks_L_sfbay_nby_off_3466599046_D12_14_2012.html	adjacent to	Starbucks	http://maps.google.com/?q=loc%3A+%39%37%30+Gravenstein+Hwy+South+Sebastopol+Ca+US	http://maps.google.com/?q=Starbucks+near+%3A+%39%37%30+Gravenstein+Hwy+South+Sebastopol+Ca+US
adjacent+to+Subway_L_losangeles_lgb_off_3517773386_D01_24_2013.html	adjacent to	Subway	http://maps.google.com/?q=loc%3A+Firestone+Blvd+at+Studebaker+Rd+Norwalk+CA+US	http://maps.google.com/?q=Subway+near+%3A+Firestone+Blvd+at+Studebaker+Rd+Norwalk+CA+US
adjacent+to+Subway_L_newyork_mnh_abo_3440841526_D12_19_2012.html	adjacent to	Subway	http://maps.google.com/?q=loc%3A+Greenwich+Street+at+Rector+Street+Manhattan+NY+US	http://maps.google.com/?q=Subway+near+%3A+Greenwich+Street+at+Rector+Street+Manhattan+NY+US
adjacent+to+Target_L_atlanta_atl_reo_3469336029_D12_15_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%32%38%30%30+South+Blue+Angel+Parkway+Pensacola+fl+US	http://maps.google.com/?q=Target+near+%3A+%32%38%30%30+South+Blue+Angel+Parkway+Pensacola+fl+US
adjacent+to+Target_L_orangecounty_roo_3512638483_D01_12_2013.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%31%32%36%36%38+Chapman+Ave+Garden+Grove+CA+US	http://maps.google.com/?q=Target+near+%3A+%31%32%36%36%38+Chapman+Ave+Garden+Grove+CA+US
adjacent+to+Target_L_phoenix_nph_apa_3338754932_D12_22_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%31%31%30+East+Greenway++Phoenix+az+US	http://maps.google.com/?q=Target+near+%3A+%31%31%30+East+Greenway++Phoenix+az+US
adjacent+to+Target_L_phoenix_nph_apa_3338769211_D12_12_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%31%31%30+East+Greenway+Parkway+Phoenix+Az+US	http://maps.google.com/?q=Target+near+%3A+%31%31%30+East+Greenway+Parkway+Phoenix+Az+US
adjacent+to+Target_L_phoenix_nph_apa_3382505683_D12_05_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%31%31%30+E+Greenway+Pkwy+Phx+Az+US	http://maps.google.com/?q=Target+near+%3A+%31%31%30+E+Greenway+Pkwy+Phx+Az+US
adjacent+to+Target_L_phoenix_nph_apa_3411762001_D12_18_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%31%31%30+E+Greenway+Pkwy+Phoenix+Az+US	http://maps.google.com/?q=Target+near+%3A+%31%31%30+E+Greenway+Pkwy+Phoenix+Az+US
adjacent+to+Target_L_sacramento_off_3383951117_D12_05_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%35%30%31%35+Madison+Ave+SACRAMENTO+CA+US	http://maps.google.com/?q=Target+near+%3A+%35%30%31%35+Madison+Ave+SACRAMENTO+CA+US
adjacent+to+Target_L_ventura_reo_3459731640_D12_06_2012.html	adjacent to	Target	http://maps.google.com/?q=loc%3A+%32%38%30%30+S+Blue+Angel+pkwy+Pensacola+FL+US	http://maps.google.com/?q=Target+near+%3A+%32%38%30%30+S+Blue+Angel+pkwy+Pensacola+FL+US
